frame,id,x1,y1,x2,y2,cls,conf
990,2,42.472503662109375,233.3267059326172,224.13140869140625,500.46368408203125,56,1.0
990,3,238.33346557617188,194.7243194580078,427.4626159667969,476.01922607421875,56,1.0
990,4,231.345947265625,96.11178588867188,405.6209716796875,204.13555908203125,68,1.0
990,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
1020,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
1020,2,42.472503662109375,233.3267059326172,224.13140869140625,500.46368408203125,56,1.0
1020,3,238.33346557617188,194.7243194580078,427.4626159667969,476.01922607421875,56,1.0
1020,4,231.345947265625,96.11178588867188,405.6209716796875,204.13555908203125,68,1.0
1020,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
1050,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
1050,2,42.472503662109375,233.3267059326172,224.13140869140625,500.46368408203125,56,1.0
1050,3,238.33346557617188,194.7243194580078,427.4626159667969,476.01922607421875,56,1.0
1050,4,231.345947265625,96.11178588867188,405.6209716796875,204.13555908203125,68,1.0
1050,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
1080,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
1080,2,42.472503662109375,233.3267059326172,224.13140869140625,500.46368408203125,56,1.0
1080,3,238.33346557617188,194.7243194580078,427.4626159667969,476.01922607421875,56,1.0
1080,4,231.345947265625,96.11178588867188,405.6209716796875,204.13555908203125,68,1.0
1080,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
1110,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
1110,2,42.472503662109375,233.3267059326172,224.13140869140625,500.46368408203125,56,1.0
1110,3,238.33346557617188,194.7243194580078,427.4626159667969,476.01922607421875,56,1.0
1110,4,231.345947265625,96.11178588867188,405.6209716796875,204.13555908203125,68,1.0
1110,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
1110,6,62.502899169921875,118.64437866210938,215.37881469726562,209.42568969726562,68,1.0
1140,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
1140,2,42.472503662109375,233.3267059326172,224.13140869140625,500.46368408203125,56,1.0
1140,3,238.33346557617188,194.7243194580078,427.4626159667969,476.01922607421875,56,1.0
1140,4,231.345947265625,96.11178588867188,405.6209716796875,204.13555908203125,68,1.0
1140,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
1140,6,0.220794677734375,94.11282348632812,143.46725463867188,182.47305297851562,68,1.0
1140,7,305.72564697265625,538.32275390625,479.51727294921875,639.4697265625,56,1.0
1170,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
1170,2,42.472503662109375,233.3267059326172,224.13140869140625,500.46368408203125,56,1.0
1170,3,238.33346557617188,194.7243194580078,427.4626159667969,476.01922607421875,56,1.0
1170,4,231.345947265625,96.11178588867188,405.6209716796875,204.13555908203125,68,1.0
1170,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
1170,6,0.179443359375,95.08981323242188,130.234130859375,179.38397216796875,68,1.0
1170,7,305.72564697265625,538.32275390625,479.51727294921875,639.4697265625,56,1.0
1200,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
1200,2,42.472503662109375,233.3267059326172,224.13140869140625,500.46368408203125,56,1.0
1200,3,238.33346557617188,194.7243194580078,427.4626159667969,476.01922607421875,56,1.0
1200,4,231.345947265625,96.11178588867188,405.6209716796875,204.13555908203125,68,1.0
1200,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
1200,6,0.1102447509765625,73.16415405273438,139.58287048339844,153.4367218017578,68,1.0
1200,7,305.72564697265625,538.32275390625,479.51727294921875,639.4697265625,56,1.0
1230,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
1230,2,42.472503662109375,233.3267059326172,224.13140869140625,500.46368408203125,56,1.0
1230,3,238.33346557617188,194.7243194580078,427.4626159667969,476.01922607421875,56,1.0
1230,4,231.345947265625,96.11178588867188,405.6209716796875,204.13555908203125,68,1.0
1230,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
1230,6,0.22722625732421875,42.56925964355469,101.70352935791016,122.84455871582031,68,1.0
1230,7,305.72564697265625,538.32275390625,479.51727294921875,639.4697265625,56,1.0
1260,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
1260,2,42.472503662109375,233.3267059326172,224.13140869140625,500.46368408203125,56,1.0
1260,3,238.33346557617188,194.7243194580078,427.4626159667969,476.01922607421875,56,1.0
1260,4,231.345947265625,96.11178588867188,405.6209716796875,204.13555908203125,68,1.0
1260,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
1260,6,0.22722625732421875,42.56925964355469,101.70352935791016,122.84455871582031,68,1.0
1260,7,305.72564697265625,538.32275390625,479.51727294921875,639.4697265625,56,1.0
1290,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
1290,2,42.472503662109375,233.3267059326172,224.13140869140625,500.46368408203125,56,1.0
1290,3,238.33346557617188,194.7243194580078,427.4626159667969,476.01922607421875,56,1.0
